('ingredient', 'vegetables', 'Leaf_vegetables', 'Brassica_rapa')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Brussels_sprout')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Cabbage')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Calendula_officinalis')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Carpobrotus_edulis')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Catsear')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Celery')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Celery_cabbage')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Celosia')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Celosia_argentea')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Celosia_cristata')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Chard')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Chayote')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Chenopodium_album')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Chenopodium_berlandieri')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Chicory')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Chili_pepper')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Chinese_cabbage')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Chrysanthemum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Chwinamul')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Claytonia_perfoliata')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Cochlearia')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Collard_greens')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Commelina')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Corchorus')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Corn_salad')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Crambe_maritima')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Crassocephalum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Crassocephalum_crepidioides')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Crassocephalum_biafrae')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Crassocephalum_rubens')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Crithmum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Crotalaria_longirostrata')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Cyathula_officinalis')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Daikon')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Daylily')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Diplazium_esculentum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Dysphania_ambrosioides')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Eddoe')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Endive')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Eruca_sativa')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Eruca_vesicaria')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Fennel')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Fenugreek')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Fiddlehead_fern')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Garden_cress')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Garland_chrysanthemum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Geitonoplesium_cymosum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Golden_samphire')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Green_smoothie')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Hablitzia')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Hemerocallis_minor')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Houttuynia_cordata')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Indian_lettuce')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Ipomoea_aquatica')
('ingredient', 'vegetables', 'Leaf_vegetables', 'January_King_Cabbage')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Kale')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Komatsuna')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Kurrat')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Leek')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Lepidium_oleraceum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Lettuce')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Malva')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Mesembryanthemum_crystallinum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Mizuna')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Morogo')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Mulukhiyah')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Mustard_plant')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Napa_cabbage')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Nettle')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Nozawana')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Parsley')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Persicaria_perfoliata')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Plantago')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Plantago_coronopus')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Plectranthus')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Pokeweed')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Portulaca_oleracea')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Pringlea_antiscorbutica')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Pterocarpus_soyauxii')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Pulaka')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Quinoa')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Radicchio')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Radichetta')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Rapini')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Romaine_lettuce')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Rutabaga')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Salsola_soda')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Sauropus_androgynus')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Savoy_cabbage')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Scallion')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Sea_beet')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Solanum_aethiopicum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Sonchus')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Sorrel')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Spinach')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Spinacia')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Spring_greens')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Stellaria')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Stinging_nettle')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Sweet_potato')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Talinum_fruticosum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Taraxacum')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Taro')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Tatsoi')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Telfairia_occidentalis')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Tetragonia')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Tetragonia_tetragonioides')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Toona_sinensis')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Turnip')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Ulluco')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Urtica_incisa')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Vernonia')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Watercress')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Welsh_onion')
('ingredient', 'vegetables', 'Leaf_vegetables', 'White_cabbage')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Winged_bean')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Winter_greens')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Wolfberry')
('ingredient', 'vegetables', 'Leaf_vegetables', 'Xanthosoma')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Ackee')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Armenian_cucumber')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Bean')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Bitter_melon')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Breadfruit')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Caigua')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Calabash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Calabaza')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chayote')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Coccinia_grandis')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Cordia')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Cucumber')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Cucumis_anguria')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Gherkin')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Green_bean')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Ibicella')
('ingredient', 'vegetables', 'Fruit_vegetables', 'List_of_vegetables_in_Assam')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Luffa')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Luffa_acutangula')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Luffa_aegyptiaca')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Maize')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Melothria_scabra')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Okra')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Pea')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Physalis_peruviana')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Plantain')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Pumpkin')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Raphanus_caudatus')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Snap_pea')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Solanum_pimpinellifolium')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Solanum_sisymbriifolium')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tinda')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatillo')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Trichosanthes_cucumerina')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Trichosanthes_dioica')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Winged_bean')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Winter_melon')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Zucchini')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Chili_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Scoville_scale')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Aleppo_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Anaheim_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Banana_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Bell_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Bhut_Jolokia_chili_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Capsicum_frutescens')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Capsicum_pubescens')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Cascabel_chili')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Cayenne_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Chipotle')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Crushed_red_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Cubanelle')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Datil_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Dundicut')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Ellachipur_Sanman')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Espelette_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Facing_heaven_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Fatalii')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Fresno_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Guajillo_chili')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Guntur_Sannam')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Guntur_chilli')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Habanero_chili')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Hainan_Yellow_Lantern_Chili')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Hungarian_wax_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Infinity_chilli')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Italian_sweet_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Madame_Jeanette')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Malagueta_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Medusa_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Mulato_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Naga_Morich')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Naga_Viper_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Nali_Sauce')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'NuMex_Twilight')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Paprika')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Pasilla')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Peperoncini')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Pequin_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Peter_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Pimento')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Piquillo_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Piri_piri')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Poblano')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Red_Savina_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Ristra')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Rocotillo_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Santa_Fe_Grande_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Serrano_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Siling_mahaba')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Chili_peppers', 'Tabasco_pepper')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Eggplants', 'Eggplant')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Eggplants', 'Bt_brinjal')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Eggplants', 'Lao_eggplant')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Eggplants', 'Scarlet_Eggplant')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Eggplants', 'Solanum_ovigerum')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Eggplants', 'Solanum_torvum')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Eggplants', 'Thai_eggplant')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Pumpkin')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', '1068_Wallace')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Acorn_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Atlantic_Giant')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Big_Max')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Butternut_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Cucurbita')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Cucurbita_maxima')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Cucurbita_mixta')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Cucurbita_moschata')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Cucurbita_pepo')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Delicata_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Gem_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Hitlerszalonna')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Kabocha')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Kamo_kamo')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Pattypan_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Prizewinner')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Pumpkin_pie')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Pumpkin_queen')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Pumpkin_chunking')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Pumpkin_soup')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Red_kuri_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Spaghetti_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Summer_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Winter_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Yellow_crookneck_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Yellow_summer_squash')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Squashes_and_pumpkins', 'Zucchini')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Blue_tomatoes')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Fish_tomato')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Kumato')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Plum_tomato')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Pomodorino_del_Piennolo_del_Vesuvio')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Potato_leaf')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Ring_culture')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Solanum_pimpinellifolium')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Tigerella')
('ingredient', 'vegetables', 'Fruit_vegetables', 'Tomatoes', 'Tomato')
('ingredient', 'vegetables', 'Inflorescence_vegetables', 'Edible_flowers')
('ingredient', 'vegetables', 'Inflorescence_vegetables', 'Artichoke')
('ingredient', 'vegetables', 'Inflorescence_vegetables', 'Banana')
('ingredient', 'vegetables', 'Inflorescence_vegetables', 'Broccoflower')
('ingredient', 'vegetables', 'Inflorescence_vegetables', 'Broccoli')
('ingredient', 'vegetables', 'Inflorescence_vegetables', 'Broccolini')
('ingredient', 'vegetables', 'Inflorescence_vegetables', 'Cardoon')
('ingredient', 'vegetables', 'Inflorescence_vegetables', 'Cauliflower')
