('ingredient', 'Cheese', ' Hungary', 'Orda')
('ingredient', 'Cheese', ' Hungary', 'Trappista_cheese')
('ingredient', 'Cheese', ' Iceland', 'Skyr')
('ingredient', 'Cheese', ' Ireland', 'List_of_Irish_cheeses')
('ingredient', 'Cheese', ' Italy', 'Parmigiano_Reggiano')
('ingredient', 'Cheese', ' Italy', 'List_of_Italian_cheeses')
('ingredient', 'Cheese', ' Italy', 'List_of_Italian_PDO_cheeses')
('ingredient', 'Cheese', ' Macedonia', 'Sirenje')
('ingredient', 'Cheese', ' Macedonia', 'Kashkaval')
('ingredient', 'Cheese', ' Macedonia', 'Urda')
('ingredient', 'Cheese', ' Malta and Gozo', 'Gbejna')
('ingredient', 'Cheese', ' Netherlands', 'Gouda_(cheese)')
('ingredient', 'Cheese', ' Netherlands', 'Edam_(cheese)')
('ingredient', 'Cheese', ' Netherlands', 'Gouda_(cheese)')
('ingredient', 'Cheese', ' Netherlands', 'Leerdammer')
('ingredient', 'Cheese', ' Netherlands', 'Leyden_cheese')
('ingredient', 'Cheese', ' Netherlands', 'Maasdam_cheese')
('ingredient', 'Cheese', ' Netherlands', 'Parrano_cheese')
('ingredient', 'Cheese', ' Netherlands', 'Vlaskaas')
('ingredient', 'Cheese', ' Norway', 'Brunost')
('ingredient', 'Cheese', ' Norway', 'Gamalost')
('ingredient', 'Cheese', ' Norway', 'Geitost')
('ingredient', 'Cheese', ' Norway', 'Gudbrandsdalsost')
('ingredient', 'Cheese', ' Norway', 'Jarlsberg_cheese')
('ingredient', 'Cheese', ' Norway', 'Norvegia')
('ingredient', 'Cheese', ' Norway', 'Pultost')
('ingredient', 'Cheese', ' Poland', 'Bryndza')
('ingredient', 'Cheese', ' Poland', 'Bundz')
('ingredient', 'Cheese', ' Poland', 'Bursztyn')
('ingredient', 'Cheese', ' Poland', 'Golka')
('ingredient', 'Cheese', ' Poland', 'Korycinski')
('ingredient', 'Cheese', ' Poland', 'Oscypek')
('ingredient', 'Cheese', ' Poland', 'Redykolka')
('ingredient', 'Cheese', ' Poland', 'Rokpol')
('ingredient', 'Cheese', ' Poland', 'Quark_(cheese)')
('ingredient', 'Cheese', ' Poland', 'Tylzycki')
('ingredient', 'Cheese', ' Portugal', 'Castelo_Branco_cheese')
('ingredient', 'Cheese', ' Portugal', 'Saloio')
('ingredient', 'Cheese', ' Portugal', 'Serra_da_Estrela_cheese')
('ingredient', 'Cheese', ' Portugal', 'Tomar')
('ingredient', 'Cheese', ' Romania', 'Telemea')
('ingredient', 'Cheese', ' Russia', 'Circassian_cheese')
('ingredient', 'Cheese', ' Russia', 'Circassian_cheese')
('ingredient', 'Cheese', ' Russia', 'Tvorok')
('ingredient', 'Cheese', ' Russia', 'Tilsit_cheese')
('ingredient', 'Cheese', ' Serbia', 'Sremski_Sir')
('ingredient', 'Cheese', ' Serbia', 'Protected_designation_of_origin')
('ingredient', 'Cheese', ' Serbia', 'Geographical_indication')
('ingredient', 'Cheese', ' Serbia', 'Geographical_indication')
('ingredient', 'Cheese', ' Serbia', 'Geographical_indication')
('ingredient', 'Cheese', ' Serbia', 'Geographical_indication')
